num_iter,loss_train,loss_val
1,2054146.75,
2,2357442.0,
3,2036307.0,
4,2016092.125,
5,2371719.5,
6,2582759.0,
7,2178581.25,
8,2362431.5,
9,2527552.75,
10,2071933.0,
11,2165889.75,
12,2218868.0,
13,2032623.75,
14,1948307.375,
15,2457203.5,
16,2194397.5,
17,2161079.0,
18,2100009.0,
19,2196480.75,
20,2577175.0,
21,1972582.5,
22,2265380.0,
23,2101172.25,
24,2086705.25,
25,2495828.75,
26,2357971.25,
27,2136885.5,
28,2546566.5,
29,1959881.25,
30,2337555.25,
31,1911788.375,
32,2036684.625,
33,2048274.125,
34,2109313.0,
35,2065873.375,
36,2322077.75,
37,2079934.625,
38,1862387.375,
39,2026918.625,
40,1908769.0,
41,2081068.5,
42,1906866.125,
43,2138686.25,
44,2355271.75,
45,2263560.75,
46,1954716.5,
47,2284330.25,
48,2246766.75,
49,2043816.125,
50,2285950.5,
51,2143357.5,
52,2200886.75,
53,2153926.75,
54,2195906.25,
55,2135115.5,
56,2273733.0,
57,2200350.5,
58,2368528.5,
59,2164696.75,
60,2079013.75,
61,2024235.125,
62,1992721.625,
63,2033344.0,
64,2295024.0,
65,1911959.0,
66,2136310.75,
67,2270277.5,
68,2112955.25,
69,2191247.25,
70,2108312.0,
71,2025054.625,
72,2085862.125,
73,1961781.375,
74,2321842.0,
75,2013445.625,
76,2248985.25,
77,2252965.75,
78,2130398.0,
79,1904082.125,
80,2116891.0,
81,2817676.25,
82,2421917.75,
83,2152639.5,
84,2434636.0,
85,2209470.75,
86,2139421.25,
87,2223473.0,
88,2265010.0,
89,1972397.5,
90,2032507.5,
91,2322912.5,
92,2111090.0,
93,2068165.375,
94,2167897.25,
95,2300622.5,
96,1905926.0,
97,2055562.125,
98,2023930.75,
99,2142383.0,
100,2047663.5,
101,2049710.375,
102,2195905.5,
103,2394647.75,
104,2111555.75,
105,2056423.0,
106,2784123.0,
107,1993142.5,
108,2643697.0,
109,1995023.0,
110,1861165.0,
111,2087456.125,
112,2203138.0,
113,2168066.5,
114,2759264.0,
115,1992174.375,
116,2244602.5,
117,2399475.25,
118,2090723.25,
119,2010374.625,
120,2055040.125,
121,2058554.25,
122,2030445.5,
123,2080617.5,
124,1930382.625,
125,2031415.0,
126,2000274.0,
127,2020674.25,
128,2244314.25,
129,2047879.625,
130,1976324.125,
131,2217234.0,
132,2245916.0,
133,1828227.0,
134,2101220.75,
135,1890042.375,
136,1927696.0,
137,2248864.0,
138,1971683.75,
139,1846137.125,
140,1976994.375,
141,1808841.75,
142,2046265.0,
143,2078910.375,
144,2046173.25,
145,2082381.125,
146,1972346.125,
147,2216605.75,
148,2023421.25,
149,2015738.125,
150,1906772.625,
151,1874196.375,
152,2056444.625,
153,1829758.625,
154,2133632.5,
155,1951383.5,
156,2150546.5,
157,2087035.0,
158,2183363.5,
159,1906902.625,
160,2215217.0,
161,1997605.75,
162,1895939.75,
163,1941013.375,
164,1955799.625,
165,2056413.125,
166,1822155.5,
167,2380300.75,
168,1895373.0,
169,1884631.625,
170,1961611.375,
171,1846871.625,
172,1815142.125,
173,2314990.5,
174,2050349.5,
175,2201418.5,
176,1928784.5,
177,1969394.125,
178,1792382.25,
179,2021191.75,
180,1976777.0,
181,1839854.75,
182,1968245.5,
183,1924460.75,
184,2035819.125,
185,2207022.5,
186,2156650.5,
187,2022710.125,
188,1872829.25,
189,1837740.375,
190,2094913.75,
191,2036908.625,
192,1984987.75,
193,1914051.0,
194,1886146.125,
195,1930157.75,
196,2003658.125,
197,1811805.0,
198,1775513.375,
199,2178732.75,
200,2035612.0,
201,1812305.75,
202,2084419.5,
203,1992131.25,
204,1866750.375,
205,1980065.75,
206,2117716.5,
207,1738467.875,
208,2029832.625,
209,1829407.0,
210,1723088.875,
211,1683107.5,
212,2101163.0,
213,1991321.375,
214,1807218.625,
215,2041780.75,
216,1889575.5,
217,2103893.75,
218,2093039.25,
219,1962805.375,
220,1859620.375,
221,1745258.25,
222,2150125.75,
223,1992761.125,
224,2203357.5,
225,1871516.625,
226,1649229.75,
227,2127100.0,
228,1863881.5,
229,2135898.75,
230,1962583.125,
231,1680367.5,
232,1774372.125,
233,1797292.5,
234,1970628.625,
235,1920693.0,
236,1662399.875,
237,1850013.125,
238,1763572.625,
239,2194966.5,
240,1647251.5,
241,2212359.0,
242,2191373.0,
243,1784210.875,
244,1790209.75,
245,1910160.625,
246,2045263.125,
247,1802344.375,
248,2075883.5,
249,2030760.125,
250,2384817.75,
251,2461386.5,
252,1838847.75,
253,1846593.375,
254,2201450.0,
255,1803838.375,
256,1829429.75,
257,2011658.5,
258,1938664.375,
259,1796204.625,
260,1735624.875,
261,1923618.0,
262,1838246.0,
263,1780218.125,
264,1830200.625,
265,1818498.125,
266,2013365.5,
267,2578525.75,
268,1766606.875,
269,1697472.25,
270,1751002.5,
271,1812097.75,
272,2136184.5,
273,1827646.375,
274,1784537.5,
275,1995303.625,
276,2105305.5,
277,1763523.75,
278,1744487.75,
279,1699929.25,
280,1876429.25,
281,1919732.375,
282,1928054.5,
283,1802678.125,
284,1981938.75,
285,1725759.75,
286,1742892.625,
287,1912040.625,
288,2044635.25,
289,1935088.25,
290,1969742.375,
291,1747887.5,
292,2144570.75,
293,1641297.5,
294,1780211.25,
295,2116959.25,
296,1927487.5,
297,1674346.875,
298,1775673.75,
299,1642516.25,
300,1787220.125,
301,1872130.375,
302,1668228.625,
303,1839895.375,
304,2037020.375,
305,1932409.25,
306,2064758.625,
307,1983517.375,
308,1916217.0,
309,1834233.5,
310,1928670.375,
311,1895881.75,
312,2148739.5,
313,2243924.0,
314,1903346.375,
315,1789669.625,
316,1701988.625,
317,2042753.0,
318,1735588.875,
319,1944260.375,
320,2006795.0,
321,1808235.75,
322,2120293.0,
323,1670466.125,
324,1898314.25,
325,1686518.875,
326,1725570.875,
327,1618143.25,
328,1813467.25,
329,2217385.75,
330,2005441.25,
331,1678098.875,
332,1804357.5,
333,1920820.0,
334,1984729.5,
335,1666766.375,
336,1933875.25,
337,1901742.375,
338,1888635.25,
339,1551991.25,
340,1868007.5,
341,1932887.75,
342,1848233.375,
343,1630983.5,
344,1920889.25,
345,2071126.5,
346,1871227.0,
347,1845521.75,
348,1755759.25,
349,1851773.625,
350,1868024.625,
351,1896863.75,
352,1855427.5,
353,1742286.125,
354,1937726.25,
355,1727077.125,
356,1788630.25,
357,1680715.375,
358,1790526.75,
359,1785713.75,
360,1851897.5,
361,1906894.625,
362,1795643.5,
363,1705038.875,
364,2114163.25,
365,1880047.625,
366,1685565.625,
367,1891933.25,
368,1808004.25,
369,1909814.375,
370,1751066.125,
371,1679276.375,
372,2045563.125,
373,1966943.5,
374,2000445.375,
375,1760006.375,
376,1618410.125,
377,2214641.0,
378,1610405.5,
379,1822079.0,
380,1755297.75,
381,1771456.875,
382,1640986.625,
383,1894682.375,
384,1869147.625,
385,1773592.125,
386,1784582.625,
387,1659198.375,
388,1845534.0,
389,1901158.125,
390,1880798.375,
391,1740299.5,
392,2182464.75,
393,1806712.25,
394,1827945.125,
395,1712592.125,
396,1799733.25,
397,1702418.375,
398,1569515.25,
399,1517044.75,
400,1698562.875,
401,1698249.75,
402,2047449.5,
403,1642742.375,
404,1917833.375,
405,1737931.5,
406,1827083.75,
407,1545012.75,
408,1516276.75,
409,1693334.625,
410,1722724.625,
411,1826572.625,
412,1739982.125,
413,1892325.25,
414,1705910.875,
415,1764212.875,
416,1668677.625,
417,1759157.375,
418,1717088.125,
419,1715347.125,
420,1520548.875,
421,1641274.125,
422,1679332.375,
423,1860747.5,
424,1799345.5,
425,1723976.375,
426,1778207.5,
427,1504628.125,
428,1679920.375,
429,1535129.125,
430,1688235.625,
431,1725690.375,
432,1614540.875,
433,1657155.5,
434,1732862.125,
435,1760452.25,
436,1830599.25,
437,1507905.375,
438,1605107.75,
439,1581104.75,
440,1858585.0,
441,1893720.0,
442,1726807.75,
443,1911113.25,
444,1771033.5,
445,1749839.5,
446,1504536.625,
447,1514704.375,
448,1557415.875,
449,1946259.75,
450,1551994.375,
451,1798095.5,
452,1797506.375,
453,1794325.25,
454,1568249.25,
455,1548440.375,
456,1521033.25,
457,1573157.375,
458,1913904.25,
459,1570456.625,
460,1438834.5,
461,1768434.375,
462,2038362.75,
463,1625811.375,
464,1838615.25,
465,1657208.875,
466,1523363.5,
467,1704328.875,
